PeakID (cmd=annotatePeaks.pl 4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3936	chr22	48713614	48713672	+	19932	NA	Intergenic--16687	L3|LINE|CR1	43467	NR_036172	100422916		NR_036172	ENSG00000266508	MIR3201	-	microRNA 3201	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6498	chrM	874	1056	+	18797	NA	NA	Intergenic	NA	NA								
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1709	chr13	46948601	46948726	+	16840	NA	intron (NM_001286761, intron 2 of 14)	U2|snRNA|snRNA	12972	NM_025113	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6499c	chrM	1542	1936	+	16335	NA	NA	Intergenic	NA	NA								
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6205	chrM	15895	16015	+	15565	NA	NA	Intergenic	NA	NA								
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6497a	chrM	588	795	+	14796	NA	NA	Intergenic	NA	NA								
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_37	chr1	11968208	11968349	+	14573	NA	Intergenic--121	U5|snRNA|snRNA	18207	NM_138346	90231	Hs.520094	NM_138346	ENSG00000116685	KIAA2013	-	KIAA2013	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4608	chr5	40835243	40835327	+	14223	NA	exon (NM_000997, exon 1 of 4)	exon (NM_000997, exon 1 of 4)	102	NM_000997	6167	Hs.447582	NM_000997		RPL37	L37	ribosomal protein L37	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2224	chr15	65597014	65597152	+	14112	NA	Intergenic--12418	U5|snRNA|snRNA	-17902	NM_017851	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4922	chr6	26124073	26124157	+	12197	NA	exon (NM_003526, exon 1 of 1)	promoter-TSS (NM_003526)	17	NM_003526	8347	Hs.658713	NM_003526		HIST1H2BC	H2B.1|H2B/l|H2BFL|dJ221C16.3	histone cluster 1, H2bc	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2525	chr16	68562245	68562295	+	12195	NA	Intergenic--13177	Intergenic	-10846	NM_001305206	146198	Hs.461074	NM_133458	ENSG00000184939	ZFP90	FIK|NK10|ZNF756|zfp-90	ZFP90 zinc finger protein	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4266	chr22	43011249	43011417	+	11988	NA	non-coding (NR_029422, exon 1 of 1)	promoter-TSS (NM_032311)	82	NR_029422	267010	Hs.574857	NR_029422	ENSG00000276027	RNU12	RNU12-1|RNU12L|RNU12P|dJ222E13.7	RNA, U12 small nuclear	snRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1104	chr11	59323935	59323991	+	11462	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	38668	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1077	chr11	59327801	59327875	+	11407	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	34793	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1295	chr11	120518144	120518198	+	10888	NA	intron (NM_001282470, intron 1 of 19)	L2b|LINE|L2	83026	NM_001282473	2900	Hs.538738	NM_014619	ENSG00000149403	GRIK4	EAA1|GRIK|GluK4|KA1	glutamate receptor, ionotropic, kainate 4	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_598	chr1	210547485	210547614	+	10785	NA	intron (NM_018194, intron 3 of 11)	U5|snRNA|snRNA	44909	NM_001170580	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2178	chr15	45003711	45003820	+	10713	NA	exon (NM_004048, exon 1 of 4)	promoter-TSS (NM_004048)	80	NM_004048	567	Hs.534255	NM_004048	ENSG00000166710	B2M	-	beta-2-microglobulin	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5072	chr6	66363813	66363870	+	10403	NA	intron (NM_001142801, intron 1 of 11)	intron (NM_001142801, intron 1 of 11)	53277	NM_001142800	346007	Hs.25067	NM_198283	ENSG00000188107	EYS	C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1	eyes shut homolog (Drosophila)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5654	chr8	27472130	27472220	+	10304	NA	5' UTR (NM_001831, exon 1 of 9)	5' UTR (NM_001831, exon 1 of 9)	153	NM_001831	1191	Hs.436657	NM_001831	ENSG00000120885	CLU	AAG4|APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2	clusterin	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1522	chr12	85287731	85287807	+	10178	NA	intron (NM_018057, intron 1 of 4)	U2|snRNA|snRNA	18839	NM_018057	55117	Hs.44424	NM_018057	ENSG00000072041	SLC6A15	NTT73|SBAT1|V7-3|hv7-3	solute carrier family 6 (neutral amino acid transporter), member 15	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3862	chr2	217363563	217363634	+	10050	NA	exon (NM_000998, exon 1 of 4)	promoter-TSS (NM_000998)	78	NM_000998	6168	Hs.433701	NM_000998		RPL37A	L37A	ribosomal protein L37a	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2223	chr15	65588388	65588529	+	9657	NA	Intergenic--12418	U5|snRNA|snRNA	-9277	NM_017851	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4810	chr5	149829227	149829304	+	9125	NA	5' UTR (NM_001025070, exon 1 of 5)	promoter-TSS (NM_005617)	54	NM_005617	6208	Hs.744846	NM_005617	ENSG00000164587	RPS14	EMTB|S14	ribosomal protein S14	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5749	chr7	44836277	44836340	+	8980	NA	5' UTR (NM_021130, exon 1 of 5)	promoter-TSS (NM_021130)	73	NM_001300981	5478	Hs.356331	NM_021130	ENSG00000196262	PPIA	CYPA|CYPH|HEL-S-69p	peptidylprolyl isomerase A (cyclophilin A)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5498	chr6	52860614	52860761	+	8748	NA	Intergenic	promoter-TSS (NM_001512)	-509	NM_001512	2941	Hs.485557	NM_001512	ENSG00000170899	GSTA4	GSTA4-4|GTA4	glutathione S-transferase alpha 4	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1173a	chr11	65267859	65268377	+	8583	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	2885	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3619	chr2	83038777	83038845	+	8325	NA	Intergenic--2113	U2|snRNA|snRNA	-45116	NR_033423	1720	Hs.169235	NR_033423		LOC1720	-	dihydrofolate reductase pseudogene	pseudo
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6386	chrX	152716623	152716682	+	8278	NA	intron (NR_073156, intron 12 of 12)	U2|snRNA|snRNA	-4707	NM_080701	11219	Hs.644635	NM_080699	ENSG00000183479	TREX2	-	three prime repair exonuclease 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6513a	chrM	12139	12326	+	8034	NA	NA	Intergenic	NA	NA								
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5128	chr6	89773270	89773368	+	7902	NA	Intergenic--5943	U2|snRNA|snRNA	-17110	NM_006813	10957	Hs.75969	NM_006813	ENSG00000146278	PNRC1	B4-2|PNAS-145|PROL2|PRR2	proline-rich nuclear receptor coactivator 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3027	chr18	37750760	37750811	+	7881	NA	Intergenic--14348	Intergenic	104535	NR_110791	101927900	Hs.385522	NR_110791	ENSG00000261715	LINC01477	-	long intergenic non-protein coding RNA 1477	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5933	chr9	19380163	19380238	+	7801	NA	5' UTR (NM_001010, exon 1 of 6)	promoter-TSS (NM_001010)	35	NM_001010	6194	Hs.408073	NM_001010	ENSG00000137154	RPS6	S6	ribosomal protein S6	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_564	chr1	204475688	204475750	+	7707	NA	Intergenic--1436	tRNA-Lys-AAA|tRNA|tRNA	-9788	NM_001204172	4194	Hs.497492	NM_002393	ENSG00000198625	MDM4	HDMX|MDMX|MRP1	MDM4, p53 regulator	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2255	chr16	18801590	18801657	+	7670	NA	5' UTR (NM_001019, exon 1 of 5)	promoter-TSS (NM_001030009)	33	NM_001030009	6210	Hs.370504	NM_001019	ENSG00000134419	RPS15A	S15a	ribosomal protein S15a	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6202	chrM	5778	5892	+	7598	NA	NA	Intergenic	NA	NA								
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5588	chr6	133135708	133135768	+	7521	NA	5' UTR (NM_001016, exon 1 of 6)	promoter-TSS (NM_001016)	30	NM_001016	6206	Hs.546289	NM_001016		RPS12	S12	ribosomal protein S12	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6014	chr9	72803584	72803666	+	7110	NA	intron (NM_153267, intron 11 of 13)	U2|snRNA|snRNA	-12821	NR_040076	100507244	Hs.556816	NR_040076	ENSG00000204706	MAMDC2-AS1	-	MAMDC2 antisense RNA 1	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5349	chr6	26156555	26156662	+	7057	NA	5' UTR (NM_005321, exon 1 of 1)	promoter-TSS (NM_005321)	49	NM_005321	3008	Hs.248133	NM_005321	ENSG00000168298	HIST1H1E	H1.4|H1E|H1F4|H1s-4|dJ221C16.5	histone cluster 1, H1e	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5905	chr7	128337747	128337816	+	6915	NA	Intergenic--6920	5S|rRNA|rRNA	-11334	NM_001282789	84691	Hs.732440	NM_032599	ENSG00000135248	FAM71F1	FAM137A|NYD-SP18	family with sequence similarity 71, member F1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6664	chrX	108297756	108297861	+	6874	NA	non-coding (NR_106735, exon 1 of 1)	promoter-TSS (NR_106735)	36	NR_106735	102464835		NR_106735	ENSG00000275110	MIR6087	hsa-mir-6087	microRNA 6087	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4398	chr4	76750668	76750742	+	6699	NA	Intergenic--4140	U2|snRNA|snRNA	72976	NM_006239	5470	Hs.290873	NM_006239	ENSG00000156194	PPEF2	PPP7CB	protein phosphatase, EF-hand calcium binding domain 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1366	chr12	6643683	6643775	+	6586	NA	5' UTR (NM_002046, exon 1 of 9)	promoter-TSS (NM_001256799)	-96	NM_001289746	2597	Hs.544577	NM_002046	ENSG00000111640	GAPDH	G3PD|GAPD|HEL-S-162eP	glyceraldehyde-3-phosphate dehydrogenase	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2747	chr17	37356565	37356635	+	6192	NA	exon (NM_000981, exon 1 of 6)	promoter-TSS (NM_000981)	64	NM_000981	6143	Hs.381061	NM_000981	ENSG00000108298	RPL19	L19	ribosomal protein L19	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4918	chr6	26032239	26032329	+	6165	NA	exon (NM_003537, exon 1 of 1)	promoter-TSS (NM_003537)	4	NM_003537	8358	Hs.533292	NM_003537	ENSG00000274267	HIST1H3B	H3/l|H3FL	histone cluster 1, H3b	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_192	chr1	45187434	45187575	+	5875	NA	intron (NM_001145636, intron 6 of 11)	U5|snRNA|snRNA	-17986	NM_006845	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4064	chr20	47896861	47896950	+	5875	NA	non-coding (NR_003695, exon 1 of 1)	promoter-TSS (NR_003030)	55	NR_003695	100113393	Hs.711216	NR_003695	ENSG00000222365	SNORD12B	-	small nucleolar RNA, C/D box 12B	snoRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2241	chr15	69745157	69745288	+	5850	NA	5' UTR (NM_001003, exon 1 of 4)	promoter-TSS (NM_001003)	63	NM_001003	6176	Hs.356502	NM_001003	ENSG00000137818	RPLP1	LP1|P1|RPP1	ribosomal protein, large, P1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4683	chr5	81574099	81574205	+	5808	NA	5' UTR (NM_001025, exon 1 of 4)	promoter-TSS (NM_001025)	83	NM_001025	6228	Hs.527193	NM_001025	ENSG00000186468	RPS23	S23	ribosomal protein S23	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2591b	chr17	37009115	37009348	+	5682	NA	non-coding (NR_002576, exon 1 of 1)	promoter-TSS (NR_002576)	17	NR_002576	619505	Hs.738742	NR_002576	ENSG00000199293	SNORA21	ACA21	small nucleolar RNA, H/ACA box 21	snoRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4103	chr20	60962121	60962232	+	5489	NA	5' UTR (NM_001024, exon 1 of 6)	promoter-TSS (NM_001024)	55	NM_001024	6227	Hs.190968	NM_001024	ENSG00000171858	RPS21	HLDF|S21	ribosomal protein S21	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4159	chr3	127794032	127794092	+	5432	NA	Intergenic	promoter-TSS (NR_046645)	-591	NR_046645	100874089	Hs.581603	NR_046645	ENSG00000239608	RUVBL1-AS1	-	RUVBL1 antisense RNA 1	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1014	chr11	18416108	18416198	+	5388	NA	5' UTR (NM_001135239, exon 1 of 7)	non-coding (NR_028500, exon 1 of 7)	217	NM_001165416	3939	Hs.2795	NM_005566	ENSG00000134333	LDHA	GSD11|HEL-S-133P|LDHM|PIG19	lactate dehydrogenase A	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4921	chr6	26056613	26056703	+	5239	NA	5' UTR (NM_005319, exon 1 of 1)	promoter-TSS (NM_005319)	41	NM_005319	3006	Hs.7644	NM_005319	ENSG00000187837	HIST1H1C	H1.2|H1C|H1F2|H1s-1	histone cluster 1, H1c	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2510	chr17	8286446	8286512	+	5170	NA	5' UTR (NM_000987, exon 1 of 4)	promoter-TSS (NM_000987)	3	NM_001315531	6154	Hs.482144	NM_000987	ENSG00000161970	RPL26	DBA11|L26	ribosomal protein L26	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6055	chr8	33370991	33371117	+	5145	NA	Intergenic	promoter-TSS (NM_001265581)	-351	NM_001102401	80185	Hs.77135	NM_025115	ENSG00000129696	TTI2	C8orf41|MRT39	TELO2 interacting protein 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_824	chr10	79793621	79793699	+	5092	NA	exon (NM_001142282, exon 1 of 6)	exon (NM_001142282, exon 1 of 6)	142	NM_001026	6229	Hs.280130	NM_001026	ENSG00000138326	RPS24	DBA3|S24	ribosomal protein S24	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3730	chr20	57607287	57607410	+	5060	NA	5' UTR (NM_006886, exon 1 of 3)	promoter-TSS (NM_006886)	74	NM_006886	514	Hs.177530	NM_006886		ATP5E	ATPE|MC5DN3	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5367	chr6	27100819	27100907	+	5033	NA	exon (NM_021064, exon 1 of 1)	promoter-TSS (NM_021058)	46	NM_021064	8969	Hs.51011	NM_021064		HIST1H2AG	H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f	histone cluster 1, H2ag	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1153	chr11	65625537	65625656	+	5024	NA	5' UTR (NM_005507, exon 1 of 4)	5' UTR (NM_005507, exon 1 of 4)	208	NM_005507	1072	Hs.170622	NM_005507	ENSG00000172757	CFL1	CFL|HEL-S-15|cofilin	cofilin 1 (non-muscle)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6384	chr9	123248900	123248951	+	4929	NA	intron (NR_073555, intron 14 of 37)	intron (NR_073555, intron 14 of 37)	93523	NR_073557	55755	Hs.269560	NM_018249	ENSG00000136861	CDK5RAP2	C48|Cep215|MCPH3	CDK5 regulatory subunit associated protein 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4943	chr6	27114561	27114634	+	4922	NA	5' UTR (NM_080593, exon 1 of 2)	promoter-TSS (NM_080593)	40	NM_001312653	85236	Hs.437275	NM_080593		HIST1H2BK	H2B/S|H2BFAiii|H2BFT|H2BK	histone cluster 1, H2bk	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2592	chr17	37009915	37009988	+	4900	NA	exon (NM_000978, exon 1 of 5)	promoter-TSS (NR_002576)	102	NM_000978	9349	Hs.406300	NM_000978		RPL23	L23|rpL17	ribosomal protein L23	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4917	chr5	10250363	10250521	+	4831	NA	5' UTR (NM_012073, exon 1 of 11)	promoter-TSS (NM_199133)	-207	NM_001306156	22948	Hs.1600	NM_012073	ENSG00000150753	CCT5	CCT-epsilon|CCTE|HEL-S-69|PNAS-102|TCP-1-epsilon	chaperonin containing TCP1, subunit 5 (epsilon)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3452	chr19	58898636	58898719	+	4794	NA	5' UTR (NM_001009, exon 1 of 6)	promoter-TSS (NR_039910)	41	NM_001009	6193	Hs.378103	NM_001009	ENSG00000083845	RPS5	S5	ribosomal protein S5	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5250	chr5	170814854	170814936	+	4759	NA	5' UTR (NM_001037738, exon 1 of 10)	5' UTR (NM_001037738, exon 1 of 10)	187	NM_001037738	4869	Hs.557550	NM_002520	ENSG00000181163	NPM1	B23|NPM	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5946	chr7	139025443	139025543	+	4682	NA	intron (NR_073059, intron 1 of 1)	promoter-TSS (NM_001244584)	297	NR_073060	154791	Hs.718441	NM_197964	ENSG00000164898	C7orf55	FMC1|HSPC268	chromosome 7 open reading frame 55	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1170	chr11	65266516	65266600	+	4624	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	1325	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
