PeakID (cmd=annotatePeaks.pl 4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6117	chrX	108297760	108297858	+	7822	NA	non-coding (NR_106735, exon 1 of 1)	promoter-TSS (NR_106735)	37	NR_106735	102464835		NR_106735	ENSG00000275110	MIR6087	hsa-mir-6087	microRNA 6087	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3480	chr2	217363562	217363636	+	7813	NA	exon (NM_000998, exon 1 of 4)	promoter-TSS (NM_000998)	79	NM_000998	6168	Hs.433701	NM_000998		RPL37A	L37A	ribosomal protein L37a	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4785	chr6	89773268	89773375	+	7761	NA	Intergenic--5943	U2|snRNA|snRNA	-17108	NM_006813	10957	Hs.75969	NM_006813	ENSG00000146278	PNRC1	B4-2|PNAS-145|PROL2|PRR2	proline-rich nuclear receptor coactivator 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5820	chrX	75875478	75875529	+	7712	NA	Intergenic--17096	5S|rRNA|rRNA	227457	NM_020932	57692	Hs.8453	NM_020932	ENSG00000198934	MAGEE1	DAMAGE|HCA1	MAGE family member E1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5529	chr8	33370991	33371115	+	7703	NA	Intergenic	promoter-TSS (NM_001265581)	-350	NM_025115	80185	Hs.77135	NM_025115	ENSG00000129696	TTI2	C8orf41|MRT39	TELO2 interacting protein 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_980	chr11	57587105	57587168	+	7670	NA	Intergenic	TTS (NM_001085463)	57902	NM_001085462	1500	Hs.166011	NM_001331	ENSG00000198561	CTNND1	CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)	catenin (cadherin-associated protein), delta 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1053a	chr11	65267838	65268275	+	7428	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	2823	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4829	chr6	4428197	4428321	+	7255	NA	non-coding (NR_106988, exon 1 of 1).21	promoter-TSS (NR_106988).21	23	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3677	chr20	47896861	47896955	+	7029	NA	non-coding (NR_003695, exon 1 of 1)	promoter-TSS (NR_003030)	58	NR_003695	100113393	Hs.711216	NR_003695	ENSG00000222365	SNORD12B	-	small nucleolar RNA, C/D box 12B	snoRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1140	chr11	93463732	93463814	+	6668	NA	non-coding (NR_003028, exon 1 of 1)	promoter-TSS (NR_003028)	39	NR_003028	684959	Hs.738736	NR_003028	ENSG00000207112	SNORA25	ACA25	small nucleolar RNA, H/ACA box 25	snoRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3190	chr2	44360116	44360171	+	6461	NA	Intergenic--1943	MER50|LTR|ERV1	-35799	NM_177969	5495	Hs.416769	NM_002706	ENSG00000138032	PPM1B	PP2C-beta|PP2C-beta-X|PP2CB|PP2CBETA|PPC2BETAX	protein phosphatase, Mg2+/Mn2+ dependent, 1B	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1520	chr12	104519013	104519073	+	6382	NA	intron (NM_006166, intron 4 of 7)	promoter-TSS (NR_106988).14	-10	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5497	chr9	19380161	19380237	+	6252	NA	5' UTR (NM_001010, exon 1 of 6)	promoter-TSS (NM_001010)	36	NM_001010	6194	Hs.408073	NM_001010	ENSG00000137154	RPS6	S6	ribosomal protein S6	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5083	chr6	133135708	133135769	+	6229	NA	5' UTR (NM_001016, exon 1 of 6)	promoter-TSS (NM_001016)	30	NM_001016	6206	Hs.546289	NM_001016		RPS12	S12	ribosomal protein S12	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_175	chr1	45187433	45187575	+	5800	NA	intron (NM_001145636, intron 6 of 11)	U5|snRNA|snRNA	-17986	NM_001297655	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_194	chr1	52439083	52439142	+	5728	NA	intron (NM_002867, intron 2 of 4)	5S|rRNA|rRNA	17324	NM_002867	5865	Hs.123072	NM_002867	ENSG00000169213	RAB3B	-	RAB3B, member RAS oncogene family	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4580	chr6	26032240	26032330	+	5635	NA	exon (NM_003537, exon 1 of 1)	promoter-TSS (NM_003537)	3	NM_003537	8358	Hs.533292	NM_003537	ENSG00000274267	HIST1H3B	H3/l|H3FL	histone cluster 1, H3b	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2090	chr16	18801588	18801659	+	5611	NA	5' UTR (NM_001019, exon 1 of 5)	promoter-TSS (NM_001030009)	33	NM_001030009	6210	Hs.370504	NM_001019	ENSG00000134419	RPS15A	S15a	ribosomal protein S15a	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4338	chr5	81574099	81574213	+	5591	NA	5' UTR (NM_001025, exon 1 of 4)	promoter-TSS (NM_001025)	79	NM_001025	6228	Hs.527193	NM_001025	ENSG00000186468	RPS23	S23	ribosomal protein S23	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4872	chr6	26156556	26156649	+	5481	NA	5' UTR (NM_005321, exon 1 of 1)	promoter-TSS (NM_005321)	43	NM_005321	3008	Hs.248133	NM_005321	ENSG00000168298	HIST1H1E	H1.4|H1E|H1F4|H1s-4|dJ221C16.5	histone cluster 1, H1e	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2145	chr16	47484301	47484372	+	5312	NA	intron (NM_001305002, intron 5 of 17)	5S|rRNA|rRNA	10849	NM_030790	81533	Hs.42217	NM_030790	ENSG00000129636	ITFG1	2310047C21Rik|CDA08|TIP	integrin alpha FG-GAP repeat containing 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_906	chr11	18416108	18416202	+	5285	NA	5' UTR (NM_001135239, exon 1 of 7)	non-coding (NR_028500, exon 1 of 7)	219	NM_001135239	3939	Hs.2795	NM_005566	ENSG00000134333	LDHA	GSD11|HEL-S-133P|LDHM|PIG19	lactate dehydrogenase A	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5430	chr7	139025442	139025541	+	5037	NA	intron (NR_073059, intron 1 of 1)	promoter-TSS (NM_001244584)	295	NR_073058	154791	Hs.718441	NM_197964	ENSG00000164898	C7orf55	FMC1|HSPC268	chromosome 7 open reading frame 55	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1465b	chr12	120729553	120729708	+	4958	NA	Intergenic--11066	U4|snRNA|snRNA	-10494	NM_012240	23409	Hs.50861	NM_012240	ENSG00000089163	SIRT4	SIR2L4	sirtuin 4	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1050	chr11	65266516	65266605	+	4915	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	1327	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3714	chr20	60962121	60962231	+	4740	NA	5' UTR (NM_001024, exon 1 of 6)	promoter-TSS (NM_001024)	55	NM_001024	6227	Hs.190968	NM_001024	ENSG00000171858	RPS21	HLDF|S21	ribosomal protein S21	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3676	chr20	47895482	47895559	+	4623	NA	non-coding (NR_002433, exon 1 of 1)	promoter-TSS (NR_002433)	38	NR_002433	26765		NR_002433	ENSG00000209042	SNORD12C	E2|E2-1|E3|RNU106|SNORD106|U106	small nucleolar RNA, C/D box 12C	snoRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2447	chr17	41464641	41464782	+	4570	NA	intron (NR_027412, intron 1 of 5)	U2|snRNA|snRNA	1555	NR_027412	100130581	Hs.546897	NR_027412	ENSG00000188825	LINC00910	-	long intergenic non-protein coding RNA 910	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5790	chr9	98622194	98622244	+	4555	NA	intron (NR_023390, intron 1 of 2)	U2|snRNA|snRNA	-15681	NM_020207	375748	Hs.432364	NM_020207	ENSG00000182150	ERCC6L2	BMFS2|C9orf102|RAD26L|SR278	excision repair cross-complementation group 6-like 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5530	chr8	36621962	36622013	+	4481	NA	Intergenic--7334	5S|rRNA|rRNA	-19855	NM_001031836	157855	Hs.13861	NM_001031836	ENSG00000215262	KCNU1	KCNMC1|KCa5|KCa5.1|Kcnma3|Slo3	potassium channel, subfamily U, member 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2492	chr17	37356565	37356636	+	4479	NA	exon (NM_000981, exon 1 of 6)	promoter-TSS (NM_000981)	64	NM_000981	6143	Hs.381061	NM_000981	ENSG00000108298	RPL19	L19	ribosomal protein L19	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2232	chr16	87640555	87640609	+	4405	NA	intron (NM_020655, intron 1 of 4)	MIRb|SINE|MIR	4089	NM_020655	57338	Hs.592068	NM_020655	ENSG00000154118	JPH3	CAGL237|HDL2|JP-3|JP3|TNRC22	junctophilin 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2398	chr17	37009914	37009986	+	4402	NA	intron (NM_000978, intron 1 of 4)	promoter-TSS (NR_002576)	103	NM_000978	9349	Hs.406300	NM_000978		RPL23	L23|rpL17	ribosomal protein L23	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1059	chr11	65625529	65625651	+	4344	NA	5' UTR (NM_005507, exon 1 of 4)	5' UTR (NM_005507, exon 1 of 4)	214	NM_005507	1072	Hs.170622	NM_005507	ENSG00000172757	CFL1	CFL|HEL-S-15|cofilin	cofilin 1 (non-muscle)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2321	chr17	8286448	8286512	+	4339	NA	5' UTR (NM_000987, exon 1 of 4)	promoter-TSS (NM_000987)	2	NM_001315530	6154	Hs.482144	NM_000987	ENSG00000161970	RPL26	DBA11|L26	ribosomal protein L26	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_610	chr1	238839867	238839937	+	4331	NA	Intergenic--1657	5S|rRNA|rRNA	-190585	NR_015407	339535	Hs.532047	NR_015407	ENSG00000215808	LINC01139	-	long intergenic non-protein coding RNA 1139	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3833	chr22	36713121	36713181	+	4294	NA	intron (NM_002473, intron 11 of 40)	5S|rRNA|rRNA	-30198	NR_106877	102465491		NR_106877	ENSG00000278420	MIR6819	hsa-mir-6819	microRNA 6819	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_725	chr10	79793618	79793699	+	4261	NA	5' UTR (NM_001142282, exon 1 of 6)	5' UTR (NM_001142282, exon 1 of 6)	140	NM_001142282	6229	Hs.280130	NM_001026	ENSG00000138326	RPS24	DBA3|S24	ribosomal protein S24	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4644	chr5	129450096	129450163	+	4225	NA	intron (NM_175856, intron 2 of 2)	5S|rRNA|rRNA	209606	NM_175856	337876	Hs.213137	NM_175856	ENSG00000198108	CHSY3	CHSY2|CSS3	chondroitin sulfate synthase 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1038	chr11	65190269	65190365	+	4221	NA	non-coding (NR_131012, exon 1 of 1)	promoter-TSS (NR_131012)	48	NR_131012	283131	Hs.523789	NR_002802		NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
