PeakID (cmd=annotatePeaks.pl 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1467	chr4	141186403	141186463	+	5971	NA	intron (NM_032547, intron 1 of 4)	intron (NM_032547, intron 1 of 4)	7993	NM_032547	60592	Hs.480815	NM_032547	ENSG00000153130	SCOC	HRIHFB2072|SCOCO	short coiled-coil protein	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1769	chr6	133135708	133135767	+	5879	NA	5' UTR (NM_001016, exon 1 of 6)	promoter-TSS (NM_001016)	29	NM_001016	6206	Hs.546289	NM_001016		RPS12	S12	ribosomal protein S12	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_658	chr14	107092675	107092741	+	5877	NA	Intergenic	promoter-TSS (NR_106988).16	-8	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_62	chr1	45196729	45196842	+	5655	NA	Intergenic--493	U5|snRNA|snRNA	-8705	NM_006845	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1586	chr5	116153783	116153833	+	5224	NA	Intergenic--4948	5S|rRNA|rRNA	-55903	NR_104678	102467223	Hs.570916	NR_104678		LOC102467223	-	uncharacterized LOC102467223	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1504	chr5	40835241	40835327	+	5173	NA	5' UTR (NM_000997, exon 1 of 4)	CpG	103	NM_000997	6167	Hs.447582	NM_000997		RPL37	L37	ribosomal protein L37	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1493	chr4	40992181	40992230	+	5074	NA	intron (NM_004307, intron 6 of 17)	5S|rRNA|rRNA	-132996	NM_001166053	323	Hs.479602	NM_004307	ENSG00000163697	APBB2	FE65L|FE65L1	amyloid beta (A4) precursor protein-binding, family B, member 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1913	chr8	36621962	36622013	+	4720	NA	Intergenic--7334	5S|rRNA|rRNA	-19855	NM_001031836	157855	Hs.13861	NM_001031836	ENSG00000215262	KCNU1	KCNMC1|KCa5|KCa5.1|Kcnma3|Slo3	potassium channel, subfamily U, member 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1216	chr2	217363566	217363639	+	4706	NA	5' UTR (NM_000998, exon 1 of 4)	promoter-TSS (NM_000998)	82	NM_000998	6168	Hs.433701	NM_000998		RPL37A	L37A	ribosomal protein L37a	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_597	chr14	20883146	20883207	+	4417	NA	Intergenic--11603	5S|rRNA|rRNA	-1597	NM_007110	7011	Hs.508835	NM_007110	ENSG00000129566	TEP1	TLP1|TP1|TROVE1|VAULT2|p240	telomerase-associated protein 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1739	chr6	52860613	52860756	+	4366	NA	Intergenic	promoter-TSS (NM_001512)	-506	NM_001512	2941	Hs.485557	NM_001512	ENSG00000170899	GSTA4	GSTA4-4|GTA4	glutathione S-transferase alpha 4	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_187	chr1	210547487	210547614	+	4219	NA	intron (NM_018194, intron 3 of 11)	U5|snRNA|snRNA	44910	NM_001170580	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_766	chr16	68562246	68562295	+	4085	NA	Intergenic--13177	Intergenic	-10846	NR_130978	146198	Hs.461074	NM_133458	ENSG00000184939	ZFP90	FIK|NK10|ZNF756|zfp-90	ZFP90 zinc finger protein	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1659	chr6	4428197	4428316	+	3949	NA	non-coding (NR_106988, exon 1 of 1).21	promoter-TSS (NR_106988).21	20	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1584	chr5	114480661	114480710	+	3898	NA	intron (NM_018700, intron 3 of 9)	5S|rRNA|rRNA	24975	NM_001300759	55521	Hs.519514	NM_018700	ENSG00000152503	TRIM36	HAPRIN|RBCC728|RNF98	tripartite motif containing 36	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_472	chr12	49525070	49525179	+	3847	NA	5' UTR (NM_006082, exon 1 of 4)	5' UTR (NM_006082, exon 1 of 4)	180	NM_006082	10376	Hs.524390	NM_006082	ENSG00000123416	TUBA1B	K-ALPHA-1	tubulin, alpha 1b	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2059a	chrM	12148	12325	+	3822	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_767	chr16	68776380	68776465	+	3755	NA	non-coding (NR_106988, exon 1 of 1).17	promoter-TSS (NR_106988).17	3	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_83	chr1	72642612	72642675	+	3724	NA	intron (NM_173808, intron 1 of 6)	5S|rRNA|rRNA	105634	NM_173808	257194	Hs.146542	NM_173808	ENSG00000172260	NEGR1	DMML2433|IGLON4|KILON|Ntra	neuronal growth regulator 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1576	chr5	149829214	149829302	+	3704	NA	5' UTR (NM_005617, exon 1 of 5)	promoter-TSS (NM_005617)	61	NM_005617	6208	Hs.744846	NM_005617	ENSG00000164587	RPS14	EMTB|S14	ribosomal protein S14	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1530	chr5	81574100	81574203	+	3694	NA	5' UTR (NM_001025, exon 1 of 4)	promoter-TSS (NM_001025)	84	NM_001025	6228	Hs.527193	NM_001025	ENSG00000186468	RPS23	S23	ribosomal protein S23	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1357	chr22	43011250	43011400	+	3680	NA	non-coding (NR_029422, exon 1 of 1)	promoter-TSS (NM_032311)	74	NR_029422	267010	Hs.574857	NR_029422	ENSG00000276027	RNU12	RNU12-1|RNU12L|RNU12P|dJ222E13.7	RNA, U12 small nuclear	snRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_450	chr12	13199086	13199136	+	3633	NA	intron (NM_020853, intron 1 of 12)	promoter-TSS (NR_106988).13	-14	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_78	chr1	52439083	52439145	+	3619	NA	intron (NM_002867, intron 2 of 4)	5S|rRNA|rRNA	17322	NM_002867	5865	Hs.123072	NM_002867	ENSG00000169213	RAB3B	-	RAB3B, member RAS oncogene family	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1341	chr22	36713121	36713181	+	3563	NA	intron (NM_002473, intron 11 of 40)	5S|rRNA|rRNA	-30198	NR_106877	102465491		NR_106877	ENSG00000278420	MIR6819	hsa-mir-6819	microRNA 6819	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1596	chr5	129450096	129450163	+	3550	NA	intron (NM_175856, intron 2 of 2)	5S|rRNA|rRNA	209606	NM_175856	337876	Hs.213137	NM_175856	ENSG00000198108	CHSY3	CHSY2|CSS3	chondroitin sulfate synthase 3	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_684	chr15	65597015	65597145	+	3510	NA	Intergenic--12418	U5|snRNA|snRNA	-17899	NM_001316944	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_793	chr17	2092239	2092302	+	3451	NA	intron (NM_001256827, intron 3 of 11)	5S|rRNA|rRNA	-43702	NR_110888	101927839	Hs.665648	NR_110888	ENSG00000225084	LOC101927839	-	uncharacterized LOC101927839	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_205	chr1	238839876	238839937	+	3430	NA	Intergenic--1657	5S|rRNA|rRNA	-190589	NR_015407	339535	Hs.532047	NR_015407	ENSG00000215808	LINC01139	-	long intergenic non-protein coding RNA 1139	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1110	chr2	33141274	33141368	+	3343	NA	intron (NR_027099, intron 5 of 5)	(G)n|Simple_repeat|Simple_repeat	-10873	NR_027097	100271832	Hs.743603	NR_027097		LOC100271832	-	uncharacterized LOC100271832	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_860	chr17	39874406	39874464	+	3334	NA	Intergenic--13807	5S|rRNA|rRNA	5857	NM_000805	2520	Hs.2681	NM_000805	ENSG00000184502	GAST	GAS	gastrin	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_2006	chrM	15935	16012	+	3334	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_305	chr11	8739116	8739166	+	3311	NA	intron (NM_005418, intron 8 of 22)	5S|rRNA|rRNA	32155	NR_002977	677826	Hs.745552	NR_002977	ENSG00000212607	SNORA3B	ACA3-2|SNORA45|SNORA45B	small nucleolar RNA, H/ACA box 3B	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1912	chr8	33370992	33371104	+	3181	NA	Intergenic	promoter-TSS (NM_001265581)	-345	NM_001265581	80185	Hs.77135	NM_025115	ENSG00000129696	TTI2	C8orf41|MRT39	TELO2 interacting protein 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1695	chr6	110074408	110074458	+	3131	NA	intron (NM_014845, intron 10 of 22)	promoter-TSS (NR_106988).22	-14	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_237	chr10	21454526	21454575	+	3096	NA	intron (NM_213569, intron 2 of 6)	5S|rRNA|rRNA	-8369	NR_046283	100128511	Hs.635827	NR_046283	ENSG00000231920	NEBL-AS1	-	NEBL antisense RNA 1	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_683	chr15	65588388	65588526	+	3031	NA	Intergenic--12418	U5|snRNA|snRNA	-9276	NM_001316944	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1612	chr6	26124075	26124154	+	3031	NA	exon (NM_003526, exon 1 of 1)	promoter-TSS (NM_003526)	18	NM_003526	8347	Hs.658713	NM_003526		HIST1H2BC	H2B.1|H2B/l|H2BFL|dJ221C16.3	histone cluster 1, H2bc	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1819	chr7	44836280	44836338	+	3029	NA	5' UTR (NM_021130, exon 1 of 5)	promoter-TSS (NM_021130)	74	NM_001300981	5478	Hs.356331	NM_021130	ENSG00000196262	PPIA	CYPA|CYPH|HEL-S-69p	peptidylprolyl isomerase A (cyclophilin A)	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_882	chr17	41464700	41464780	+	2938	NA	intron (NR_027412, intron 1 of 5)	U2|snRNA|snRNA	1526	NR_027413	100130581	Hs.546897	NR_027412	ENSG00000188825	LINC00910	-	long intergenic non-protein coding RNA 910	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1959	chr9	72803581	72803666	+	2913	NA	intron (NM_153267, intron 11 of 13)	U2|snRNA|snRNA	-12819	NR_040076	100507244	Hs.556816	NR_040076	ENSG00000204706	MAMDC2-AS1	-	MAMDC2 antisense RNA 1	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_2049	chrX	116134831	116134888	+	2908	NA	Intergenic--17244	5S|rRNA|rRNA	-540665	NM_001017978	203413	Hs.97892	NM_001017978	ENSG00000204019	CT83	CXorf61|KK-LC-1|KKLC1	cancer/testis antigen 83	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_516	chr12	99477617	99477682	+	2895	NA	intron (NM_020140, intron 2 of 10)	5S|rRNA|rRNA	-9488	NR_110095	101928937	Hs.555499	NR_110095	ENSG00000258039	LOC101928937	-	uncharacterized LOC101928937	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_214	chr10	327979	328065	+	2850	NA	non-coding (NR_106988, exon 1 of 1).11	promoter-TSS (NR_106988).11	4	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2048h	chrM	1546	2462	+	2789	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1887	chr8	117034956	117035015	+	2703	NA	intron (NR_046215, intron 7 of 13)	5S|rRNA|rRNA	302312	NR_046215	100859921	Hs.552281	NR_046215	ENSG00000249917	LINC00536	-	long intergenic non-protein coding RNA 536	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1298	chr20	60962156	60962232	+	2684	NA	5' UTR (NM_001024, exon 1 of 6)	promoter-TSS (NM_001024)	73	NM_001024	6227	Hs.190968	NM_001024	ENSG00000171858	RPS21	HLDF|S21	ribosomal protein S21	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_936	chr18	9923916	9923980	+	2680	NA	intron (NM_003574, intron 1 of 6)	5S|rRNA|rRNA	9993	NM_194434	9218	Hs.165195	NM_003574	ENSG00000101558	VAPA	VAP-33|VAP-A|VAP33|hVAP-33	VAMP associated protein A	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2100	chrX	108297772	108297834	+	2680	NA	non-coding (NR_106735, exon 1 of 1)	promoter-TSS (NR_106735)	31	NR_106735	102464835		NR_106735	ENSG00000275110	MIR6087	hsa-mir-6087	microRNA 6087	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1701	chr6	126301014	126301082	+	2665	NA	3' UTR (NM_138571, exon 5 of 5)	3' UTR (NM_138571, exon 5 of 5)	-6528	NM_001031712	60487	Hs.404186	NM_021820	ENSG00000066651	TRMT11	C6orf75|MDS024|TRM11|TRMT11-1	tRNA methyltransferase 11 homolog	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_532b	chr12	120729553	120729708	+	2640	NA	Intergenic--11066	U4|snRNA|snRNA	-10494	NM_012240	23409	Hs.50861	NM_012240	ENSG00000089163	SIRT4	SIR2L4	sirtuin 4	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_867b	chr17	37009119	37009324	+	2628	NA	non-coding (NR_002576, exon 1 of 1)	promoter-TSS (NR_002576)	27	NR_002576	619505	Hs.738742	NR_002576	ENSG00000199293	SNORA21	ACA21	small nucleolar RNA, H/ACA box 21	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_465	chr12	28658327	28658392	+	2616	NA	intron (NM_018318, intron 11 of 11)	5S|rRNA|rRNA	248226	NM_018318	55297	Hs.653125	NM_018318	ENSG00000123106	CCDC91	HSD8|p56	coiled-coil domain containing 91	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1538	chr5	101466795	101466845	+	2609	NA	Intergenic--4903	5S|rRNA|rRNA	165433	NM_180991	353189	Hs.127648	NM_180991	ENSG00000173930	SLCO4C1	OATP-H|OATP-M1|OATP4C1|OATPX|PRO2176|SLC21A20	solute carrier organic anion transporter family, member 4C1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_2005	chrM	5802	5883	+	2587	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_572	chr13	46948600	46948725	+	2579	NA	intron (NM_001286761, intron 2 of 14)	U2|snRNA|snRNA	12973	NM_001286763	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_868	chr17	37009917	37009985	+	2573	NA	5' UTR (NM_000978, exon 1 of 5)	promoter-TSS (NR_002576)	102	NM_000978	9349	Hs.406300	NM_000978		RPL23	L23|rpL17	ribosomal protein L23	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_927	chr17	79479719	79479828	+	2551	NA	5' UTR (NM_001199954, exon 1 of 6)	non-coding (NR_037688, exon 1 of 7)	119	NM_001614	71	Hs.514581	NM_001614	ENSG00000184009	ACTG1	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	actin gamma 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_764	chr16	18801591	18801659	+	2524	NA	5' UTR (NM_001030009, exon 1 of 5)	promoter-TSS (NM_001030009)	31	NM_001030009	6210	Hs.370504	NM_001019	ENSG00000134419	RPS15A	S15a	ribosomal protein S15a	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1113	chr2	81723385	81723451	+	2522	NA	Intergenic--2113	5S|rRNA|rRNA	-29348	NR_110161	100507201	Hs.98589	NR_110161		LOC100507201	-	uncharacterized LOC100507201	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_70	chr1	45241243	45241303	+	2478	NA	5' UTR (NM_001012, exon 1 of 6)	promoter-TSS (NR_000024)	27	NM_001012	6202	Hs.512675	NM_001012	ENSG00000142937	RPS8	S8	ribosomal protein S8	protein-coding
