PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10a_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10a_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10a_sorted_rstrand_peak_1213	chr13	46948600	46948725	+	17082	NA	intron (NM_001286761, intron 2 of 14)	U2|snRNA|snRNA	12973	NM_001286766	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4551a	chrM	588	798	+	16131	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_fstrand_peak_4552	chrM	888	1057	+	13851	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_fstrand_peak_3844	chr6	52860626	52860762	+	12710	NA	Intergenic	promoter-TSS (NM_001512)	-516	NM_001512	2941	Hs.485557	NM_001512	ENSG00000170899	GSTA4	GSTA4-4|GTA4	glutathione S-transferase alpha 4	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_749	chr11	59323936	59323989	+	12441	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	38669	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4554c	chrM	1529	1936	+	11808	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_fstrand_peak_816b	chr11	65267832	65268261	+	10882	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	2813	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4571a	chrM	12139	12386	+	10066	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_rstrand_peak_429	chr1	210547478	210547614	+	9857	NA	intron (NM_018194, intron 3 of 11)	U5|snRNA|snRNA	44906	NM_001170580	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4372	chrM	5778	5892	+	9549	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_rstrand_peak_766	chr11	59327797	59327875	+	9066	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	34795	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2993a	chr22	43011249	43011417	+	9006	NA	non-coding (NR_029422, exon 1 of 1)	promoter-TSS (NM_032311)	82	NR_029422	267010	Hs.574857	NR_029422	ENSG00000276027	RNU12	RNU12-1|RNU12L|RNU12P|dJ222E13.7	RNA, U12 small nuclear	snRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_23	chr1	11968208	11968349	+	8942	NA	Intergenic--121	U5|snRNA|snRNA	18207	NM_138346	90231	Hs.520094	NM_138346	ENSG00000116685	KIAA2013	-	KIAA2013	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4524	chrX	152716623	152716682	+	8517	NA	intron (NR_073156, intron 12 of 12)	U2|snRNA|snRNA	-4707	NM_080701	11219	Hs.644635	NM_080699	ENSG00000183479	TREX2	-	three prime repair exonuclease 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_928	chr11	120518145	120518198	+	8328	NA	intron (NM_001282470, intron 1 of 19)	L2b|LINE|L2	83026	NM_001282473	2900	Hs.538738	NM_014619	ENSG00000149403	GRIK4	EAA1|GRIK|GluK4|KA1	glutamate receptor, ionotropic, kainate 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3555	chr6	66363813	66363870	+	8234	NA	intron (NM_001142801, intron 1 of 11)	intron (NM_001142801, intron 1 of 11)	53277	NM_001292009	346007	Hs.25067	NM_198283	ENSG00000188107	EYS	C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1	eyes shut homolog (Drosophila)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1856	chr17	41464689	41464785	+	8093	NA	intron (NR_027412, intron 1 of 5)	U2|snRNA|snRNA	1529	NR_027412	100130581	Hs.546897	NR_027412	ENSG00000188825	LINC00910	-	long intergenic non-protein coding RNA 910	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1813b	chr17	37009114	37009340	+	7680	NA	non-coding (NR_002576, exon 1 of 1)	promoter-TSS (NR_002576)	21	NR_002576	619505	Hs.738742	NR_002576	ENSG00000199293	SNORA21	ACA21	small nucleolar RNA, H/ACA box 21	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1521	chr15	65597015	65597153	+	7536	NA	Intergenic--12418	U5|snRNA|snRNA	-17903	NM_001316943	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1520a	chr15	65588388	65588528	+	7328	NA	Intergenic--12418	U5|snRNA|snRNA	-9277	NM_001316943	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1095	chr12	85287731	85287807	+	7310	NA	intron (NM_018057, intron 1 of 4)	U2|snRNA|snRNA	18839	NM_001146335	55117	Hs.44424	NM_018057	ENSG00000072041	SLC6A15	NTT73|SBAT1|V7-3|hv7-3	solute carrier family 6 (neutral amino acid transporter), member 15	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4516	chr9	136216251	136216334	+	6862	NA	non-coding (NR_002447, exon 1 of 1)	promoter-TSS (NR_002447)	41	NR_002447	26820		NR_002447	ENSG00000206611	SNORD24	RNU24|U24	small nucleolar RNA, C/D box 24	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2843	chr20	47896861	47896950	+	6751	NA	non-coding (NR_003695, exon 1 of 1)	promoter-TSS (NR_003030)	55	NR_003695	100113393	Hs.711216	NR_003695	ENSG00000222365	SNORD12B	-	small nucleolar RNA, C/D box 12B	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2100	chr18	37750760	37750813	+	6590	NA	Intergenic--14348	Intergenic	104536	NR_110791	101927900	Hs.385522	NR_110791	ENSG00000261715	LINC01477	-	long intergenic non-protein coding RNA 1477	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2522	chr2	83038777	83038845	+	6586	NA	Intergenic--2113	U2|snRNA|snRNA	-45116	NR_033423	1720	Hs.169235	NR_033423		LOC1720	-	dihydrofolate reductase pseudogene	pseudo
4E1-PMA-01_S10a_sorted_rstrand_peak_3597	chr6	89773268	89773367	+	6579	NA	Intergenic--5943	U2|snRNA|snRNA	-17112	NM_006813	10957	Hs.75969	NM_006813	ENSG00000146278	PNRC1	B4-2|PNAS-145|PROL2|PRR2	proline-rich nuclear receptor coactivator 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3358	chr5	149829229	149829303	+	6411	NA	5' UTR (NM_005617, exon 1 of 5)	promoter-TSS (NM_005617)	53	NM_001025071	6208	Hs.744846	NM_005617	ENSG00000164587	RPS14	EMTB|S14	ribosomal protein S14	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3206	chr5	40835247	40835334	+	6257	NA	5' UTR (NM_000997, exon 1 of 4)	promoter-TSS (NM_000997)	97	NM_000997	6167	Hs.447582	NM_000997		RPL37	L37	ribosomal protein L37	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4226	chr8	33370992	33371114	+	5776	NA	Intergenic	promoter-TSS (NM_001265581)	-350	NM_025115	80185	Hs.77135	NM_025115	ENSG00000129696	TTI2	C8orf41|MRT39	TELO2 interacting protein 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3438	chr6	26124077	26124157	+	5547	NA	exon (NM_003526, exon 1 of 1)	promoter-TSS (NM_003526)	15	NM_003526	8347	Hs.658713	NM_003526		HIST1H2BC	H2B.1|H2B/l|H2BFL|dJ221C16.3	histone cluster 1, H2bc	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3980	chr8	27472127	27472220	+	5501	NA	5' UTR (NM_001831, exon 1 of 9)	5' UTR (NM_001831, exon 1 of 9)	155	NM_001831	1191	Hs.436657	NM_001831	ENSG00000120885	CLU	AAG4|APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2	clusterin	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2842	chr20	47895482	47895560	+	5396	NA	non-coding (NR_002433, exon 1 of 1)	promoter-TSS (NR_002433)	39	NR_002433	26765		NR_002433	ENSG00000209042	SNORD12C	E2|E2-1|E3|RNU106|SNORD106|U106	small nucleolar RNA, C/D box 12C	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_144	chr1	45187439	45187575	+	5333	NA	intron (NM_001145636, intron 6 of 11)	U5|snRNA|snRNA	-17983	NM_006845	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_813	chr11	65266516	65266609	+	5330	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	1329	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4142	chr7	139025453	139025538	+	4989	NA	intron (NR_073059, intron 1 of 1)	promoter-TSS (NM_001244584)	299	NR_073060	154791	Hs.718441	NM_197964	ENSG00000164898	C7orf55	FMC1|HSPC268	chromosome 7 open reading frame 55	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3638	chr6	126301031	126301082	+	4871	NA	3' UTR (NM_138571, exon 5 of 5)	3' UTR (NM_138571, exon 5 of 5)	-6520	NM_001031712	60487	Hs.404186	NM_021820	ENSG00000066651	TRMT11	C6orf75|MDS024|TRM11|TRMT11-1	tRNA methyltransferase 11 homolog	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2681	chr2	217363564	217363633	+	4855	NA	exon (NM_000998, exon 1 of 4)	promoter-TSS (NM_000998)	78	NM_000998	6168	Hs.433701	NM_000998		RPL37A	L37A	ribosomal protein L37a	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_98	chr1	28905261	28905332	+	4752	NA	non-coding (NR_003077, exon 1 of 1)	promoter-TSS (NR_003077)	38	NR_003077	692212		NR_003077	ENSG00000221539	SNORD99	HBII-420	small nucleolar RNA, C/D box 99	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_803	chr11	65190269	65190419	+	4706	NA	non-coding (NR_131012, exon 1 of 1)	promoter-TSS (NR_131012)	75	NR_028272	283131	Hs.523789	NR_002802		NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1718	chr16	68776380	68776463	+	4685	NA	non-coding (NR_106988, exon 1 of 1).17	promoter-TSS (NR_106988).17	2	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4555e	chrM	1994	2462	+	4551	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_rstrand_peak_2720	chr22	39715042	39715118	+	4476	NA	non-coding (NR_002439, exon 1 of 1)	promoter-TSS (NR_002439)	38	NR_002439	26807		NR_002439	ENSG00000263764	SNORD43	RNU43|U43	small nucleolar RNA, C/D box 43	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2892	chr3	127794042	127794092	+	4327	NA	Intergenic	promoter-TSS (NR_046645)	-586	NR_046645	100874089	Hs.581603	NR_046645	ENSG00000239608	RUVBL1-AS1	-	RUVBL1 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1494	chr15	45003711	45003838	+	4246	NA	exon (NM_004048, exon 1 of 4)	promoter-TSS (NM_004048)	89	NM_004048	567	Hs.534255	NM_004048	ENSG00000166710	B2M	-	beta-2-microglobulin	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1059	chr12	52445225	52445294	+	4218	NA	5' UTR (NM_002135, exon 1 of 8)	promoter-TSS (NM_002135)	73	NM_173157	3164	Hs.524430	NM_002135	ENSG00000123358	NR4A1	GFRP1|HMR|N10|NAK-1|NGFIB|NP10|NUR77|TR3	nuclear receptor subfamily 4, group A, member 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2463	chr2	44360116	44360171	+	4181	NA	Intergenic--1943	MER50|LTR|ERV1	-35799	NM_177968	5495	Hs.416769	NM_002706	ENSG00000138032	PPM1B	PP2C-beta|PP2C-beta-X|PP2CB|PP2CBETA|PPC2BETAX	protein phosphatase, Mg2+/Mn2+ dependent, 1B	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4017	chr7	44836279	44836340	+	4120	NA	5' UTR (NM_021130, exon 1 of 5)	promoter-TSS (NM_021130)	74	NM_001300981	5478	Hs.356331	NM_021130	ENSG00000196262	PPIA	CYPA|CYPH|HEL-S-69p	peptidylprolyl isomerase A (cyclophilin A)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1147b	chr12	120729553	120729708	+	4041	NA	Intergenic--11066	U4|snRNA|snRNA	-10494	NM_012240	23409	Hs.50861	NM_012240	ENSG00000089163	SIRT4	SIR2L4	sirtuin 4	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1717	chr16	68562245	68562295	+	3994	NA	Intergenic--13177	Intergenic	-10846	NM_001305203	146198	Hs.461074	NM_133458	ENSG00000184939	ZFP90	FIK|NK10|ZNF756|zfp-90	ZFP90 zinc finger protein	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3458	chr6	27302754	27302807	+	3794	NA	Intergenic--5529	tRNA-Lys-AAA|tRNA|tRNA	10240	NR_045612	387316	Hs.326753	NM_032030		VN1R10P	FKSG83|VNR6I1P|b24o18.2|hs6V1-1p	vomeronasal 1 receptor 10 pseudogene	pseudo
4E1-PMA-01_S10a_sorted_rstrand_peak_4235	chr9	72803583	72803665	+	3696	NA	intron (NM_153267, intron 11 of 13)	U2|snRNA|snRNA	-12820	NR_040076	100507244	Hs.556816	NR_040076	ENSG00000204706	MAMDC2-AS1	-	MAMDC2 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_3343	chr4	119200345	119200408	+	3684	NA	non-coding (NR_002963, exon 1 of 1)	promoter-TSS (NR_002963)	31	NR_002963	677809	Hs.744742	NR_002963	ENSG00000275994	SNORA24	ACA24	small nucleolar RNA, H/ACA box 24	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_1520b	chr15	65588388	65588528	+	3581	NA	Intergenic--12418	U5|snRNA|snRNA	-9277	NM_001316943	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_973	chr12	12756791	12756844	+	3564	NA	Intergenic--10435	AluSx1|SINE|Alu	-7950	NM_001310	1389	Hs.591156	NM_001310	ENSG00000111269	CREBL2	-	cAMP responsive element binding protein-like 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_351	chr1	183429931	183429983	+	3527	NA	Intergenic	TTS (NR_040063)	11160	NR_040063	284649	Hs.127384	NR_040063	ENSG00000232860	SMG7-AS1	DKFZP564C196	SMG7 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1598	chr16	18801591	18801658	+	3519	NA	5' UTR (NM_001019, exon 1 of 5)	promoter-TSS (NM_001030009)	32	NM_001030009	6210	Hs.370504	NM_001019	ENSG00000134419	RPS15A	S15a	ribosomal protein S15a	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4521	chrX	146555872	146555921	+	3470	NA	Intergenic--17401	L2c|LINE|L2	-189650	NR_030240	574518		NR_030240	ENSG00000207867	MIR514A3	MIR514-3|MIRN514-3|hsa-mir-514a-3	microRNA 514a-3	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_554	chr10	79793621	79793696	+	3439	NA	5' UTR (NM_001142282, exon 1 of 6)	5' UTR (NM_001142282, exon 1 of 6)	140	NM_001142283	6229	Hs.280130	NM_001026	ENSG00000138326	RPS24	DBA3|S24	ribosomal protein S24	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3726	chr6	26156556	26156643	+	3401	NA	5' UTR (NM_005321, exon 1 of 1)	promoter-TSS (NM_005321)	40	NM_005321	3008	Hs.248133	NM_005321	ENSG00000168298	HIST1H1E	H1.4|H1E|H1F4|H1s-4|dJ221C16.5	histone cluster 1, H1e	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4174	chr9	19380166	19380234	+	3353	NA	5' UTR (NM_001010, exon 1 of 6)	promoter-TSS (NM_001010)	35	NM_001010	6194	Hs.408073	NM_001010	ENSG00000137154	RPS6	S6	ribosomal protein S6	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3703	chr6	4428197	4428305	+	3335	NA	non-coding (NR_106988, exon 1 of 1).21	promoter-TSS (NR_106988).21	15	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_964	chr12	6643683	6643774	+	3333	NA	5' UTR (NM_002046, exon 1 of 9)	promoter-TSS (NM_001256799)	-97	NM_001289746	2597	Hs.544577	NM_002046	ENSG00000111640	GAPDH	G3PD|GAPD|HEL-S-162eP	glyceraldehyde-3-phosphate dehydrogenase	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4556b	chrM	2526	2730	+	3329	NA	NA	LSU-rRNA_Hsa|rRNA|rRNA	NA	NA								
4E1-PMA-01_S10a_sorted_fstrand_peak_4519	chr9	136217701	136217776	+	3320	NA	non-coding (NR_000016, exon 1 of 1)	promoter-TSS (NR_000016)	37	NR_000016	26813		NR_000016	ENSG00000252542	SNORD36C	RNU36C|U36c	small nucleolar RNA, C/D box 36C	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3437	chr6	26056460	26056703	+	3210	NA	exon (NM_005319, exon 1 of 1)	exon (NM_005319, exon 1 of 1)	118	NM_005319	3006	Hs.7644	NM_005319	ENSG00000187837	HIST1H1C	H1.2|H1C|H1F2|H1s-1	histone cluster 1, H1c	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3436	chr6	26032242	26032328	+	3194	NA	exon (NM_003537, exon 1 of 1)	promoter-TSS (NM_003537)	3	NM_003537	8358	Hs.533292	NM_003537	ENSG00000274267	HIST1H3B	H3/l|H3FL	histone cluster 1, H3b	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3266	chr5	81574104	81574187	+	3175	NA	5' UTR (NM_001025, exon 1 of 4)	promoter-TSS (NM_001025)	90	NM_001025	6228	Hs.527193	NM_001025	ENSG00000186468	RPS23	S23	ribosomal protein S23	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2566	chr2	115177702	115177779	+	3172	NA	Intergenic--2316	U2|snRNA|snRNA	-22159	NM_020868	57628	Hs.580539	NM_020868	ENSG00000175497	DPP10	DPL2|DPPY|DPRP-3|DPRP3	dipeptidyl-peptidase 10 (inactive)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4371a	chrM	212	409	+	3117	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_rstrand_peak_375	chr1	173836004	173836076	+	3096	NA	non-coding (NR_003941, exon 1 of 1)	promoter-TSS (NR_003941)	36	NR_003941	692195		NR_003941		SNORD75	U75	small nucleolar RNA, C/D box 75	snoRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_903	chr11	100772801	100772854	+	3004	NA	intron (NM_152432, intron 4 of 23)	intron (NM_152432, intron 4 of 23)	-89984	NM_032021	83935	Hs.44004	NM_032021	ENSG00000170647	TMEM133	AD031	transmembrane protein 133	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2349	chr19	49993224	49993311	+	2952	NA	non-coding (NR_000021, exon 1 of 1)	promoter-TSS (NR_000021)	44	NR_000021	26819		NR_000021	ENSG00000201675	SNORD32A	RNU32|U32|U32A	small nucleolar RNA, C/D box 32A	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4155	chr7	148638580	148638680	+	2912	NA	Intergenic--7050	HY5|scRNA|scRNA	-45989	NR_130107	102723099	Hs.621982	NR_130107	ENSG00000281189	GHET1	lncRNA-GHET1	gastric carcinoma proliferation enhancing transcript 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_267	chr1	149858144	149858232	+	2911	NA	exon (NM_003528, exon 1 of 1)	promoter-TSS (NM_003517)	44	NM_003528	8349	Hs.2178	NM_003528	ENSG00000184678	HIST2H2BE	GL105|H2B|H2B.1|H2BFQ|H2BGL105|H2BQ	histone cluster 2, H2be	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4555d	chrM	1994	2462	+	2887	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10a_sorted_fstrand_peak_1455	chr14	107092675	107092749	+	2883	NA	Intergenic	promoter-TSS (NR_106988).16	-4	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2867	chr20	60962131	60962230	+	2823	NA	5' UTR (NM_001024, exon 1 of 6)	promoter-TSS (NM_001024)	59	NM_001024	6227	Hs.190968	NM_001024	ENSG00000171858	RPS21	HLDF|S21	ribosomal protein S21	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1534	chr15	69745158	69745307	+	2799	NA	5' UTR (NM_001003, exon 1 of 4)	promoter-TSS (NM_001003)	73	NM_213725	6176	Hs.356502	NM_001003	ENSG00000137818	RPLP1	LP1|P1|RPP1	ribosomal protein, large, P1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1891	chr17	37356565	37356634	+	2768	NA	exon (NM_000981, exon 1 of 6)	promoter-TSS (NM_000981)	63	NM_000981	6143	Hs.381061	NM_000981	ENSG00000108298	RPL19	L19	ribosomal protein L19	protein-coding
