PeakID (cmd=annotatePeaks.pl 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_824	chr17	8076778	8076907	+	7861	NA	3' UTR (NM_032354, exon 5 of 5)	3' UTR (NM_032354, exon 5 of 5)	2872	NM_032354	84314	Hs.513933	NM_032354		TMEM107	GRVS638|PRO1268	transmembrane protein 107	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1129	chr2	131584231	131584291	+	7465	NA	Intergenic--2374	5S|rRNA|rRNA	70397	NM_001105195	205147	Hs.369289	NM_152698	ENSG00000178171	AMER3	FAM123C	APC membrane recruitment protein 3	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1975	chr8	60368444	60368505	+	7320	NA	Intergenic--7432	5S|rRNA|rRNA	-336707	NM_014729	9760	Hs.491805	NM_014729	ENSG00000198846	TOX	TOX1	thymocyte selection-associated high mobility group box	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1459	chr3	150905886	150905969	+	7197	NA	intron (NM_053002, intron 11 of 42)	5S|rRNA|rRNA	15061	NM_013308	29909	Hs.549152	NM_013308	ENSG00000174946	GPR171	H963	G protein-coupled receptor 171	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_60	chr1	45196736	45196842	+	6588	NA	Intergenic--493	U5|snRNA|snRNA	-8701	NM_001297655	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_2094	chrM	900	1043	+	6447	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_547	chr12	104519013	104519077	+	6414	NA	intron (NM_006166, intron 4 of 7)	promoter-TSS (NR_106988).14	-8	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1388	chr3	181540689	181540780	+	6349	NA	Intergenic--3670	5S|rRNA|rRNA	111022	NM_003106	6657	Hs.518438	NM_003106	ENSG00000181449	SOX2	ANOP3|MCOPS3	SRY box 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_663	chr14	76529560	76529621	+	6134	NA	intron (NM_001102564, intron 5 of 8)	5S|rRNA|rRNA	77494	NM_052873	112752	Hs.532626	NM_052873	ENSG00000119650	IFT43	C14orf179|CED3	intraflagellar transport 43	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_12	chr1	11968208	11968347	+	6067	NA	Intergenic--121	U5|snRNA|snRNA	18208	NM_138346	90231	Hs.520094	NM_138346	ENSG00000116685	KIAA2013	-	KIAA2013	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_2096c	chrM	1542	2719	+	5986	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1459	chr4	141186403	141186463	+	5914	NA	intron (NM_032547, intron 1 of 4)	intron (NM_032547, intron 1 of 4)	7993	NM_032547	60592	Hs.480815	NM_032547	ENSG00000153130	SCOC	HRIHFB2072|SCOCO	short coiled-coil protein	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_682	chr14	107092675	107092749	+	5896	NA	Intergenic	promoter-TSS (NR_106988).16	-4	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_345	chr11	59327802	59327875	+	5877	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	34793	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1805	chr6	133135709	133135769	+	5828	NA	5' UTR (NM_001016, exon 1 of 6)	promoter-TSS (NM_001016)	31	NM_001016	6206	Hs.546289	NM_001016		RPS12	S12	ribosomal protein S12	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1630	chr5	116153783	116153832	+	5466	NA	Intergenic--4948	5S|rRNA|rRNA	-55902	NR_104678	102467223	Hs.570916	NR_104678		LOC102467223	-	uncharacterized LOC102467223	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1495	chr5	40835246	40835329	+	5204	NA	5' UTR (NM_000997, exon 1 of 4)	promoter-TSS (NM_000997)	100	NM_000997	6167	Hs.447582	NM_000997		RPL37	L37	ribosomal protein L37	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_713	chr15	65597015	65597145	+	5138	NA	Intergenic--12418	U5|snRNA|snRNA	-17899	NM_001316943	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1958	chr8	36621963	36622013	+	4981	NA	Intergenic--7334	5S|rRNA|rRNA	-19854	NM_001031836	157855	Hs.13861	NM_001031836	ENSG00000215262	KCNU1	KCNMC1|KCa5|KCa5.1|Kcnma3|Slo3	potassium channel, subfamily U, member 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1251	chr2	217363565	217363639	+	4924	NA	5' UTR (NM_000998, exon 1 of 4)	promoter-TSS (NM_000998)	82	NM_000998	6168	Hs.433701	NM_000998		RPL37A	L37A	ribosomal protein L37a	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_614	chr14	20883146	20883207	+	4861	NA	Intergenic--11603	5S|rRNA|rRNA	-1597	NM_007110	7011	Hs.508835	NM_007110	ENSG00000129566	TEP1	TLP1|TP1|TROVE1|VAULT2|p240	telomerase-associated protein 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1777	chr6	52860614	52860753	+	4555	NA	Intergenic	promoter-TSS (NM_001512)	-505	NM_001512	2941	Hs.485557	NM_001512	ENSG00000170899	GSTA4	GSTA4-4|GTA4	glutathione S-transferase alpha 4	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_794	chr16	68776380	68776465	+	4538	NA	non-coding (NR_106988, exon 1 of 1).17	promoter-TSS (NR_106988).17	3	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1696	chr6	4428197	4428314	+	4342	NA	non-coding (NR_106988, exon 1 of 1).21	promoter-TSS (NR_106988).21	19	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_463	chr12	13199086	13199145	+	4253	NA	intron (NM_020853, intron 1 of 12)	promoter-TSS (NR_106988).13	-10	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_477	chr12	49525081	49525180	+	4128	NA	5' UTR (NM_006082, exon 1 of 4)	5' UTR (NM_006082, exon 1 of 4)	174	NM_006082	10376	Hs.524390	NM_006082	ENSG00000123416	TUBA1B	K-ALPHA-1	tubulin, alpha 1b	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1627	chr5	114480661	114480710	+	4066	NA	intron (NM_018700, intron 3 of 9)	5S|rRNA|rRNA	24975	NM_001300759	55521	Hs.519514	NM_018700	ENSG00000152503	TRIM36	HAPRIN|RBCC728|RNF98	tripartite motif containing 36	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_192	chr1	210547488	210547614	+	4025	NA	intron (NM_018194, intron 3 of 11)	U5|snRNA|snRNA	44911	NM_001170580	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_793	chr16	68562246	68562295	+	4025	NA	Intergenic--13177	Intergenic	-10846	NM_001305206	146198	Hs.461074	NM_133458	ENSG00000184939	ZFP90	FIK|NK10|ZNF756|zfp-90	ZFP90 zinc finger protein	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1503	chr4	40992181	40992230	+	3973	NA	intron (NM_004307, intron 6 of 17)	5S|rRNA|rRNA	-132996	NM_001166053	323	Hs.479602	NM_004307	ENSG00000163697	APBB2	FE65L|FE65L1	amyloid beta (A4) precursor protein-binding, family B, member 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1566	chr5	149829230	149829305	+	3888	NA	5' UTR (NM_005617, exon 1 of 5)	promoter-TSS (NM_005617)	52	NM_001025070	6208	Hs.744846	NM_005617	ENSG00000164587	RPS14	EMTB|S14	ribosomal protein S14	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_2104a	chrM	12148	12325	+	3816	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_80	chr1	72642612	72642675	+	3796	NA	intron (NM_173808, intron 1 of 6)	5S|rRNA|rRNA	105634	NM_173808	257194	Hs.146542	NM_173808	ENSG00000172260	NEGR1	DMML2433|IGLON4|KILON|Ntra	neuronal growth regulator 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1957	chr8	33370992	33371107	+	3658	NA	Intergenic	promoter-TSS (NM_001265581)	-346	NM_001102401	80185	Hs.77135	NM_025115	ENSG00000129696	TTI2	C8orf41|MRT39	TELO2 interacting protein 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_72	chr1	52439083	52439142	+	3637	NA	intron (NM_002867, intron 2 of 4)	5S|rRNA|rRNA	17324	NM_002867	5865	Hs.123072	NM_002867	ENSG00000169213	RAB3B	-	RAB3B, member RAS oncogene family	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1853	chr7	44836280	44836338	+	3628	NA	5' UTR (NM_021130, exon 1 of 5)	promoter-TSS (NM_021130)	74	NM_021130	5478	Hs.356331	NM_021130	ENSG00000196262	PPIA	CYPA|CYPH|HEL-S-69p	peptidylprolyl isomerase A (cyclophilin A)	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_819	chr17	2092239	2092302	+	3525	NA	intron (NM_001256827, intron 3 of 11)	5S|rRNA|rRNA	-43702	NR_110888	101927839	Hs.665648	NR_110888	ENSG00000225084	LOC101927839	-	uncharacterized LOC101927839	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1518	chr5	81574104	81574207	+	3513	NA	5' UTR (NM_001025, exon 1 of 4)	promoter-TSS (NM_001025)	80	NM_001025	6228	Hs.527193	NM_001025	ENSG00000186468	RPS23	S23	ribosomal protein S23	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_2029	chrM	15939	16015	+	3446	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1384a	chr22	43011250	43011416	+	3443	NA	non-coding (NR_029422, exon 1 of 1)	promoter-TSS (NM_032311)	82	NR_029422	267010	Hs.574857	NR_029422	ENSG00000276027	RNU12	RNU12-1|RNU12L|RNU12P|dJ222E13.7	RNA, U12 small nuclear	snRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1100	chr2	81723377	81723451	+	3390	NA	Intergenic--2113	5S|rRNA|rRNA	-29344	NR_110161	100507201	Hs.98589	NR_110161		LOC100507201	-	uncharacterized LOC100507201	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1610	chr6	26124065	26124154	+	3384	NA	exon (NM_003526, exon 1 of 1)	promoter-TSS (NM_003526)	23	NM_003526	8347	Hs.658713	NM_003526		HIST1H2BC	H2B.1|H2B/l|H2BFL|dJ221C16.3	histone cluster 1, H2bc	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1640	chr5	129450096	129450163	+	3345	NA	intron (NM_175856, intron 2 of 2)	5S|rRNA|rRNA	209606	NM_175856	337876	Hs.213137	NM_175856	ENSG00000198108	CHSY3	CHSY2|CSS3	chondroitin sulfate synthase 3	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_233	chr10	21454526	21454575	+	3339	NA	intron (NM_213569, intron 2 of 6)	5S|rRNA|rRNA	-8369	NR_046283	100128511	Hs.635827	NR_046283	ENSG00000231920	NEBL-AS1	-	NEBL antisense RNA 1	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1369	chr22	36713121	36713180	+	3320	NA	intron (NM_002473, intron 11 of 40)	5S|rRNA|rRNA	-30197	NR_106877	102465491		NR_106877	ENSG00000278420	MIR6819	hsa-mir-6819	microRNA 6819	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_208	chr1	238839877	238839937	+	3318	NA	Intergenic--1657	5S|rRNA|rRNA	-190590	NR_015407	339535	Hs.532047	NR_015407	ENSG00000215808	LINC01139	-	long intergenic non-protein coding RNA 1139	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_2026	chrM	5778	5883	+	3206	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1130	chr2	33141275	33141368	+	3155	NA	intron (NR_027099, intron 5 of 5)	(G)n|Simple_repeat|Simple_repeat	-10873	NR_027097	100271832	Hs.743603	NR_027097		LOC100271832	-	uncharacterized LOC100271832	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1704	chr6	110074399	110074458	+	3090	NA	intron (NM_014845, intron 10 of 22)	promoter-TSS (NR_106988).22	-9	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_570b	chr13	46948600	46948725	+	3070	NA	intron (NM_001286761, intron 2 of 14)	U2|snRNA|snRNA	12973	NM_001286762	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_2154	chrX	108297766	108297854	+	3067	NA	non-coding (NR_106735, exon 1 of 1)	promoter-TSS (NR_106735)	38	NR_106735	102464835		NR_106735	ENSG00000275110	MIR6087	hsa-mir-6087	microRNA 6087	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_2060	chrX	116134832	116134888	+	3038	NA	Intergenic--17244	5S|rRNA|rRNA	-540666	NM_001017978	203413	Hs.97892	NM_001017978	ENSG00000204019	CT83	CXorf61|KK-LC-1|KKLC1	cancer/testis antigen 83	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_712	chr15	65588388	65588528	+	3031	NA	Intergenic--12418	U5|snRNA|snRNA	-9277	NM_001316943	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1530	chr5	101466795	101466845	+	2945	NA	Intergenic--4903	5S|rRNA|rRNA	165433	NM_180991	353189	Hs.127648	NM_180991	ENSG00000173930	SLCO4C1	OATP-H|OATP-M1|OATP4C1|OATPX|PRO2176|SLC21A20	solute carrier organic anion transporter family, member 4C1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_889	chr17	39874406	39874465	+	2928	NA	Intergenic--13807	5S|rRNA|rRNA	5857	NM_000805	2520	Hs.2681	NM_000805	ENSG00000184502	GAST	GAS	gastrin	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_923	chr17	79479719	79479828	+	2885	NA	5' UTR (NM_001199954, exon 1 of 6)	non-coding (NR_037688, exon 1 of 7)	119	NM_001614	71	Hs.514581	NM_001614	ENSG00000184009	ACTG1	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	actin gamma 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_859b	chr17	37009117	37009239	+	2870	NA	non-coding (NR_002576, exon 1 of 1)	promoter-TSS (NR_002576)	70	NR_002576	619505	Hs.738742	NR_002576	ENSG00000199293	SNORA21	ACA21	small nucleolar RNA, H/ACA box 21	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_312	chr11	8739117	8739166	+	2862	NA	intron (NM_005418, intron 8 of 22)	5S|rRNA|rRNA	32155	NR_002977	677826	Hs.745552	NR_002977	ENSG00000212607	SNORA3B	ACA3-2|SNORA45|SNORA45B	small nucleolar RNA, H/ACA box 3B	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_514	chr12	99477610	99477682	+	2848	NA	intron (NM_020140, intron 2 of 10)	5S|rRNA|rRNA	-9491	NR_110095	101928937	Hs.555499	NR_110095	ENSG00000258039	LOC101928937	-	uncharacterized LOC101928937	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1829	chr6	165823050	165823108	+	2816	NA	intron (NM_006661, intron 14 of 22)	promoter-TSS (NR_106988).24	-11	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_377b	chr11	65267837	65268227	+	2783	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	2799	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1974	chr9	72803585	72803666	+	2773	NA	intron (NM_153267, intron 11 of 13)	U2|snRNA|snRNA	-12821	NR_040076	100507244	Hs.556816	NR_040076	ENSG00000204706	MAMDC2-AS1	-	MAMDC2 antisense RNA 1	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_570a	chr13	46948600	46948725	+	2689	NA	intron (NM_001286761, intron 2 of 14)	U2|snRNA|snRNA	12973	NM_001286762	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1713	chr6	126301012	126301082	+	2684	NA	3' UTR (NM_138571, exon 5 of 5)	3' UTR (NM_138571, exon 5 of 5)	-6529	NM_001031712	60487	Hs.404186	NM_021820	ENSG00000066651	TRMT11	C6orf75|MDS024|TRM11|TRMT11-1	tRNA methyltransferase 11 homolog	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_875	chr17	41464696	41464776	+	2677	NA	intron (NR_027412, intron 1 of 5)	U2|snRNA|snRNA	1530	NR_027413	100130581	Hs.546897	NR_027412	ENSG00000188825	LINC00910	-	long intergenic non-protein coding RNA 910	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1530	chr4	109541726	109541798	+	2630	NA	5' UTR (NM_033625, exon 1 of 6)	promoter-TSS (NM_033625)	13	NM_033625	6164	Hs.438227	NM_000995	ENSG00000109475	RPL34	L34	ribosomal protein L34	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1331	chr20	60962160	60962233	+	2605	NA	5' UTR (NM_001024, exon 1 of 6)	promoter-TSS (NM_001024)	75	NM_001024	6227	Hs.190968	NM_001024	ENSG00000171858	RPS21	HLDF|S21	ribosomal protein S21	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_476	chr12	28658327	28658395	+	2602	NA	intron (NM_018318, intron 11 of 11)	5S|rRNA|rRNA	248228	NM_018318	55297	Hs.653125	NM_018318	ENSG00000123106	CCDC91	HSD8|p56	coiled-coil domain containing 91	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_432	chr11	124506355	124506416	+	2569	NA	3' UTR (NM_001199922, exon 12 of 12)	promoter-TSS (NR_106988).12	-9	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_2096i	chrM	1542	2719	+	2548	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_527b	chr12	120729554	120729707	+	2521	NA	Intergenic--11066	U4|snRNA|snRNA	-10494	NM_012240	23409	Hs.50861	NM_012240	ENSG00000089163	SIRT4	SIR2L4	sirtuin 4	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1904	chr8	117034956	117035015	+	2460	NA	intron (NR_046215, intron 7 of 13)	5S|rRNA|rRNA	302312	NR_046215	100859921	Hs.552281	NR_046215	ENSG00000249917	LINC00536	-	long intergenic non-protein coding RNA 536	ncRNA
