PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10b_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10b_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10b_sorted_fstrand_peak_812a	chr11	65267858	65268275	+	10135	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	2833	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_2989a	chr22	43011249	43011417	+	9702	NA	non-coding (NR_029422, exon 1 of 1)	promoter-TSS (NM_032311)	82	NR_029422	267010	Hs.574857	NR_029422	ENSG00000276027	RNU12	RNU12-1|RNU12L|RNU12P|dJ222E13.7	RNA, U12 small nuclear	snRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_31	chr1	11968208	11968348	+	9347	NA	Intergenic--121	U5|snRNA|snRNA	18207	NM_138346	90231	Hs.520094	NM_138346	ENSG00000116685	KIAA2013	-	KIAA2013	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4361	chrM	5777	5892	+	9262	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_rstrand_peak_4512	chrX	152716623	152716682	+	9141	NA	intron (NR_073156, intron 12 of 12)	U2|snRNA|snRNA	-4707	NM_080701	11219	Hs.644635	NM_080699	ENSG00000183479	TREX2	-	three prime repair exonuclease 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_775	chr11	59327798	59327875	+	8869	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	34795	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_1800b	chr17	37009116	37009240	+	8241	NA	non-coding (NR_002576, exon 1 of 1)	promoter-TSS (NR_002576)	70	NR_002576	619505	Hs.738742	NR_002576	ENSG00000199293	SNORA21	ACA21	small nucleolar RNA, H/ACA box 21	snoRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_431	chr1	210547477	210547614	+	8202	NA	intron (NM_018194, intron 3 of 11)	U5|snRNA|snRNA	44905	NM_001170580	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_917	chr11	120518145	120518198	+	8197	NA	intron (NM_001282470, intron 1 of 19)	L2b|LINE|L2	83026	NM_001282470	2900	Hs.538738	NM_014619	ENSG00000149403	GRIK4	EAA1|GRIK|GluK4|KA1	glutamate receptor, ionotropic, kainate 4	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1845	chr17	41464685	41464785	+	7804	NA	intron (NR_027412, intron 1 of 5)	U2|snRNA|snRNA	1531	NR_027413	100130581	Hs.546897	NR_027412	ENSG00000188825	LINC00910	-	long intergenic non-protein coding RNA 910	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3548	chr6	66363813	66363870	+	7599	NA	intron (NM_001142801, intron 1 of 11)	intron (NM_001142801, intron 1 of 11)	53277	NM_001292009	346007	Hs.25067	NM_198283	ENSG00000188107	EYS	C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1	eyes shut homolog (Drosophila)	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2535	chr2	83038777	83038845	+	7572	NA	Intergenic--2113	U2|snRNA|snRNA	-45116	NR_033423	1720	Hs.169235	NR_033423		LOC1720	-	dihydrofolate reductase pseudogene	pseudo
4E1-PMA-01_S10b_sorted_fstrand_peak_1557	chr15	65588388	65588529	+	7393	NA	Intergenic--12418	U5|snRNA|snRNA	-9277	NM_017851	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1086	chr12	85287731	85287807	+	7154	NA	intron (NM_018057, intron 1 of 4)	U2|snRNA|snRNA	18839	NM_182767	55117	Hs.44424	NM_018057	ENSG00000072041	SLC6A15	NTT73|SBAT1|V7-3|hv7-3	solute carrier family 6 (neutral amino acid transporter), member 15	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1558	chr15	65597015	65597152	+	6916	NA	Intergenic--12418	U5|snRNA|snRNA	-17902	NM_017851	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4506	chr9	136216251	136216334	+	6813	NA	non-coding (NR_002447, exon 1 of 1)	promoter-TSS (NR_002447)	41	NR_002447	26820		NR_002447	ENSG00000206611	SNORD24	RNU24|U24	small nucleolar RNA, C/D box 24	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_2120	chr18	37750760	37750811	+	6740	NA	Intergenic--14348	Intergenic	104535	NR_110791	101927900	Hs.385522	NR_110791	ENSG00000261715	LINC01477	-	long intergenic non-protein coding RNA 1477	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3219	chr5	40835246	40835329	+	6689	NA	exon (NM_000997, exon 1 of 4)	promoter-TSS (NM_000997)	100	NM_000997	6167	Hs.447582	NM_000997		RPL37	L37	ribosomal protein L37	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2844	chr20	47896861	47896955	+	6675	NA	non-coding (NR_003695, exon 1 of 1)	promoter-TSS (NR_003030)	58	NR_003695	100113393	Hs.711216	NR_003695	ENSG00000222365	SNORD12B	-	small nucleolar RNA, C/D box 12B	snoRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3593	chr6	89773271	89773371	+	6550	NA	Intergenic--5943	U2|snRNA|snRNA	-17108	NM_006813	10957	Hs.75969	NM_006813	ENSG00000146278	PNRC1	B4-2|PNAS-145|PROL2|PRR2	proline-rich nuclear receptor coactivator 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3345	chr5	149829227	149829303	+	6206	NA	5' UTR (NM_001025070, exon 1 of 5)	promoter-TSS (NM_005617)	54	NM_001025070	6208	Hs.744846	NM_005617	ENSG00000164587	RPS14	EMTB|S14	ribosomal protein S14	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_150	chr1	45187436	45187575	+	5735	NA	intron (NM_001145636, intron 6 of 11)	U5|snRNA|snRNA	-17985	NM_006845	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4233	chr8	33370991	33371115	+	5507	NA	Intergenic	promoter-TSS (NM_001265581)	-350	NM_001102401	80185	Hs.77135	NM_025115	ENSG00000129696	TTI2	C8orf41|MRT39	TELO2 interacting protein 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_809	chr11	65266516	65266602	+	5486	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	1326	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3424	chr6	26124066	26124157	+	5370	NA	exon (NM_003526, exon 1 of 1)	promoter-TSS (NM_003526)	21	NM_003526	8347	Hs.658713	NM_003526		HIST1H2BC	H2B.1|H2B/l|H2BFL|dJ221C16.3	histone cluster 1, H2bc	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3630	chr6	126301019	126301082	+	5083	NA	3' UTR (NM_138571, exon 5 of 5)	3' UTR (NM_138571, exon 5 of 5)	-6526	NM_001031712	60487	Hs.404186	NM_021820	ENSG00000066651	TRMT11	C6orf75|MDS024|TRM11|TRMT11-1	tRNA methyltransferase 11 homolog	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3966	chr8	27472128	27472219	+	4997	NA	5' UTR (NM_001831, exon 1 of 9)	5' UTR (NM_001831, exon 1 of 9)	155	NM_001831	1191	Hs.436657	NM_001831	ENSG00000120885	CLU	AAG4|APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2	clusterin	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2843	chr20	47895482	47895566	+	4938	NA	non-coding (NR_002433, exon 1 of 1)	promoter-TSS (NR_002433)	42	NR_002433	26765		NR_002433	ENSG00000209042	SNORD12C	E2|E2-1|E3|RNU106|SNORD106|U106	small nucleolar RNA, C/D box 12C	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_2706	chr2	217363565	217363633	+	4859	NA	exon (NM_000998, exon 1 of 4)	promoter-TSS (NM_000998)	79	NM_000998	6168	Hs.433701	NM_000998		RPL37A	L37A	ribosomal protein L37a	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1736	chr16	68776380	68776469	+	4794	NA	non-coding (NR_106988, exon 1 of 1).17	promoter-TSS (NR_106988).17	5	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_4543e	chrM	1995	2462	+	4640	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_fstrand_peak_1526	chr15	45003711	45003837	+	4552	NA	exon (NM_004048, exon 1 of 4)	promoter-TSS (NM_004048)	89	NM_004048	567	Hs.534255	NM_004048	ENSG00000166710	B2M	-	beta-2-microglobulin	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2735	chr22	39715044	39715118	+	4505	NA	non-coding (NR_002439, exon 1 of 1)	promoter-TSS (NR_002439)	37	NR_002439	26807		NR_002439	ENSG00000263764	SNORD43	RNU43|U43	small nucleolar RNA, C/D box 43	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_4160	chr7	139025455	139025542	+	4456	NA	intron (NR_073059, intron 1 of 1)	promoter-TSS (NM_001244584)	302	NR_073059	154791	Hs.718441	NM_197964	ENSG00000164898	C7orf55	FMC1|HSPC268	chromosome 7 open reading frame 55	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_96	chr1	28905262	28905332	+	4429	NA	non-coding (NR_003077, exon 1 of 1)	promoter-TSS (NR_003077)	37	NR_003077	692212		NR_003077	ENSG00000221539	SNORD99	HBII-420	small nucleolar RNA, C/D box 99	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_796	chr11	65190269	65190366	+	4303	NA	non-coding (NR_131012, exon 1 of 1)	promoter-TSS (NR_131012)	48	NR_028272	283131	Hs.523789	NR_002802		NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_1141b	chr12	120729553	120729708	+	4232	NA	Intergenic--11066	U4|snRNA|snRNA	-10494	NM_012240	23409	Hs.50861	NM_012240	ENSG00000089163	SIRT4	SIR2L4	sirtuin 4	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1069	chr12	52445225	52445323	+	4154	NA	5' UTR (NM_002135, exon 1 of 8)	promoter-TSS (NM_002135)	88	NM_002135	3164	Hs.524430	NM_002135	ENSG00000123358	NR4A1	GFRP1|HMR|N10|NAK-1|NGFIB|NP10|NUR77|TR3	nuclear receptor subfamily 4, group A, member 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2480	chr2	44360116	44360171	+	3956	NA	Intergenic--1943	MER50|LTR|ERV1	-35799	NM_177969	5495	Hs.416769	NM_002706	ENSG00000138032	PPM1B	PP2C-beta|PP2C-beta-X|PP2CB|PP2CBETA|PPC2BETAX	protein phosphatase, Mg2+/Mn2+ dependent, 1B	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3444	chr6	27302754	27302806	+	3891	NA	Intergenic--5529	tRNA-Lys-AAA|tRNA|tRNA	10240	NR_045612	387316	Hs.326753	NM_032030		VN1R10P	FKSG83|VNR6I1P|b24o18.2|hs6V1-1p	vomeronasal 1 receptor 10 pseudogene	pseudo
4E1-PMA-01_S10b_sorted_fstrand_peak_3700	chr6	4428196	4428318	+	3871	NA	non-coding (NR_106988, exon 1 of 1).21	promoter-TSS (NR_106988).21	21	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_378	chr1	173836004	173836076	+	3851	NA	non-coding (NR_003941, exon 1 of 1)	promoter-TSS (NR_003941)	36	NR_003941	692195		NR_003941		SNORD75	U75	small nucleolar RNA, C/D box 75	snoRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_955	chr12	12756791	12756844	+	3825	NA	Intergenic--10435	AluSx1|SINE|Alu	-7950	NM_001310	1389	Hs.591156	NM_001310	ENSG00000111269	CREBL2	-	cAMP responsive element binding protein-like 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3736	chr6	26156556	26156664	+	3801	NA	5' UTR (NM_005321, exon 1 of 1)	promoter-TSS (NM_005321)	51	NM_005321	3008	Hs.248133	NM_005321	ENSG00000168298	HIST1H1E	H1.4|H1E|H1F4|H1s-4|dJ221C16.5	histone cluster 1, H1e	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4543d	chrM	1995	2462	+	3774	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_rstrand_peak_1574	chr16	18801590	18801656	+	3769	NA	5' UTR (NM_001019, exon 1 of 5)	promoter-TSS (NM_001030009)	33	NM_001019	6210	Hs.370504	NM_001019	ENSG00000134419	RPS15A	S15a	ribosomal protein S15a	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4509	chr9	136217700	136217780	+	3761	NA	non-coding (NR_000016, exon 1 of 1)	promoter-TSS (NR_000016)	39	NR_000016	26813		NR_000016	ENSG00000252542	SNORD36C	RNU36C|U36c	small nucleolar RNA, C/D box 36C	snoRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_2907	chr3	127794035	127794092	+	3733	NA	Intergenic	promoter-TSS (NR_046645)	-590	NR_046645	100874089	Hs.581603	NR_046645	ENSG00000239608	RUVBL1-AS1	-	RUVBL1 antisense RNA 1	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_4239	chr9	72803583	72803665	+	3690	NA	intron (NM_153267, intron 11 of 13)	U2|snRNA|snRNA	-12820	NR_040076	100507244	Hs.556816	NR_040076	ENSG00000204706	MAMDC2-AS1	-	MAMDC2 antisense RNA 1	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_3351	chr4	119200345	119200433	+	3674	NA	non-coding (NR_002963, exon 1 of 1)	promoter-TSS (NR_002963)	44	NR_002963	677809	Hs.744742	NR_002963	ENSG00000275994	SNORA24	ACA24	small nucleolar RNA, H/ACA box 24	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_366	chr1	183429931	183429984	+	3546	NA	Intergenic	TTS (NR_040063)	11160	NR_040063	284649	Hs.127384	NR_040063	ENSG00000232860	SMG7-AS1	DKFZP564C196	SMG7 antisense RNA 1	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_1735	chr16	68562245	68562295	+	3490	NA	Intergenic--13177	Intergenic	-10846	NM_001305207	146198	Hs.461074	NM_133458	ENSG00000184939	ZFP90	FIK|NK10|ZNF756|zfp-90	ZFP90 zinc finger protein	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3268	chr5	81574100	81574195	+	3455	NA	5' UTR (NM_001025, exon 1 of 4)	promoter-TSS (NM_001025)	88	NM_001025	6228	Hs.527193	NM_001025	ENSG00000186468	RPS23	S23	ribosomal protein S23	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3422	chr6	26032249	26032330	+	3454	NA	Intergenic	promoter-TSS (NM_003537)	-1	NM_003537	8358	Hs.533292	NM_003537	ENSG00000274267	HIST1H3B	H3/l|H3FL	histone cluster 1, H3b	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_562	chr10	79793621	79793698	+	3431	NA	5' UTR (NM_001142282, exon 1 of 6)	5' UTR (NM_001142282, exon 1 of 6)	141	NM_001142285	6229	Hs.280130	NM_001026	ENSG00000138326	RPS24	DBA3|S24	ribosomal protein S24	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4017	chr7	44836278	44836403	+	3348	NA	5' UTR (NM_001300981, exon 1 of 6)	exon (NM_021130, exon 1 of 5)	105	NM_021130	5478	Hs.356331	NM_021130	ENSG00000196262	PPIA	CYPA|CYPH|HEL-S-69p	peptidylprolyl isomerase A (cyclophilin A)	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4508	chrX	146555872	146555921	+	3340	NA	Intergenic--17401	L2c|LINE|L2	-189650	NR_030240	574518		NR_030240	ENSG00000207867	MIR514A3	MIR514-3|MIRN514-3|hsa-mir-514a-3	microRNA 514a-3	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_4544b	chrM	2526	2729	+	3213	NA	NA	LSU-rRNA_Hsa|rRNA|rRNA	NA	NA								
4E1-PMA-01_S10b_sorted_fstrand_peak_978	chr12	6643683	6643775	+	3161	NA	5' UTR (NM_002046, exon 1 of 9)	promoter-TSS (NM_001256799)	-96	NM_001289746	2597	Hs.544577	NM_002046	ENSG00000111640	GAPDH	G3PD|GAPD|HEL-S-162eP	glyceraldehyde-3-phosphate dehydrogenase	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4451	chr9	123248900	123248950	+	3149	NA	intron (NR_073555, intron 14 of 37)	intron (NR_073555, intron 14 of 37)	93523	NM_001011649	55755	Hs.269560	NM_018249	ENSG00000136861	CDK5RAP2	C48|Cep215|MCPH3	CDK5 regulatory subunit associated protein 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4360b	chrM	148	409	+	3131	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_fstrand_peak_2578	chr2	115177702	115177784	+	3126	NA	Intergenic--2316	U2|snRNA|snRNA	-22156	NM_020868	57628	Hs.580539	NM_020868	ENSG00000175497	DPP10	DPL2|DPPY|DPRP-3|DPRP3	dipeptidyl-peptidase 10 (inactive)	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4181	chr9	19380167	19380235	+	3113	NA	5' UTR (NM_001010, exon 1 of 6)	promoter-TSS (NM_001010)	34	NM_001010	6194	Hs.408073	NM_001010	ENSG00000137154	RPS6	S6	ribosomal protein S6	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3423	chr6	26056607	26056701	+	3009	NA	exon (NM_005319, exon 1 of 1)	promoter-TSS (NM_005319)	45	NM_005319	3006	Hs.7644	NM_005319	ENSG00000187837	HIST1H1C	H1.2|H1C|H1F2|H1s-1	histone cluster 1, H1c	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4268	chr8	60368444	60368508	+	2954	NA	Intergenic--7432	5S|rRNA|rRNA	-336709	NM_014729	9760	Hs.491805	NM_014729	ENSG00000198846	TOX	TOX1	thymocyte selection-associated high mobility group box	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2374	chr19	49993223	49993309	+	2936	NA	non-coding (NR_000021, exon 1 of 1)	promoter-TSS (NR_000021)	43	NR_000021	26819		NR_000021	ENSG00000201675	SNORD32A	RNU32|U32|U32A	small nucleolar RNA, C/D box 32A	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_4667	chrX	108297769	108297859	+	2926	NA	non-coding (NR_106735, exon 1 of 1)	promoter-TSS (NR_106735)	42	NR_106735	102464835		NR_106735	ENSG00000275110	MIR6087	hsa-mir-6087	microRNA 6087	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_1490	chr14	107092675	107092749	+	2907	NA	Intergenic	promoter-TSS (NR_106988).16	-4	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_893	chr11	100772801	100772854	+	2835	NA	intron (NM_152432, intron 4 of 23)	intron (NM_152432, intron 4 of 23)	-89984	NM_032021	83935	Hs.44004	NM_032021	ENSG00000170647	TMEM133	AD031	transmembrane protein 133	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4174	chr7	148638580	148638680	+	2824	NA	Intergenic--7050	HY5|scRNA|scRNA	-45989	NR_130107	102723099	Hs.621982	NR_130107	ENSG00000281189	GHET1	lncRNA-GHET1	gastric carcinoma proliferation enhancing transcript 1	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3330	chr5	137896721	137896799	+	2766	NA	non-coding (NR_002913, exon 1 of 1)	promoter-TSS (NR_002913)	39	NR_002913	26785		NR_002913	ENSG00000206989	SNORD63	RNU63|U63	small nucleolar RNA, C/D box 63	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_3661	chr5	170814854	170814938	+	2760	NA	5' UTR (NM_001037738, exon 1 of 10)	5' UTR (NM_001037738, exon 1 of 10)	188	NM_199185	4869	Hs.557550	NM_002520	ENSG00000181163	NPM1	B23|NPM	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	protein-coding
